"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-symptom","mii-lm-symptom","mii-lm-symptom","","","",0,*,"","","","null {[]} {[]}
","MII LM Symptom","Logische Repräsentation des Basismoduls Symptom/klinischer Phänotyp","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-symptom","mii-lm-symptom.Condition.Stadium.extension","mii-lm-symptom.Condition.Stadium.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-symptom","mii-lm-symptom.Condition.Stadium.modifierExtension","mii-lm-symptom.Condition.Stadium.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-symptom","mii-lm-symptom.Condition.Stadium.Zusammenfassung","mii-lm-symptom.Condition.Stadium.Zusammenfassung","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Einfache Zusammenfassung des Stadiums","Einfache Zusammenfassung des Stadiums","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Stadium.Zusammenfassung",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Condition.Stadium.Einschaetzung","mii-lm-symptom.Condition.Stadium.Einschaetzung","","","",0,*,"","","","Reference {[]} {[]}
","Referenz auf eine formale Einschätzung des Stadiums (ClinicalImpression, DiagnosticReport, Observation)","Referenz auf eine formale Einschätzung des Stadiums (ClinicalImpression, DiagnosticReport, Observation)","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Stadium.Einschaetzung",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Condition.Stadium.ArtDerStadieneinteilung","mii-lm-symptom.Condition.Stadium.ArtDerStadieneinteilung","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Art der Stadieneinteilung","Art der Stadieneinteilung","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Stadium.ArtDerStadieneinteilung",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Condition.Patient","mii-lm-symptom.Condition.Patient","","","",1,1,"","","","Reference {[]} {[]}
","Link auf Patient","Link auf Patient","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Patient",1,1,"",""
"mii-lm-symptom","mii-lm-symptom.Condition.Fall","mii-lm-symptom.Condition.Fall","","","",0,1,"","","","Reference {[]} {[]}
","Link auf Behandlungsfall","Link auf Behandlungsfall","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Condition.Fall",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation","mii-lm-symptom.Observation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Observation i. S. einer FHIR Observation: Messungen oder Zuweisungen zu einem Patienten. Die meisten Beobachtungen sind einfache Entity/Value Paare, sie können aber auch komplex hierarchisch aufgebaut sein.","Observation i. S. einer FHIR Observation: Messungen oder Zuweisungen zu einem Patienten. Die meisten Beobachtungen sind einfache Entity/Value Paare, sie können aber auch komplex hierarchisch aufgebaut sein.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-symptom","mii-lm-symptom.Observation.id","mii-lm-symptom.Observation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.extension","mii-lm-symptom.Observation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-symptom","mii-lm-symptom.Observation.modifierExtension","mii-lm-symptom.Observation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-symptom","mii-lm-symptom.Observation.Identifikator","mii-lm-symptom.Observation.Identifikator","","","",0,*,"","","","Identifier {[]} {[]}
","Eindeutiger Identifier der Observation","Eindeutiger Identifier der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Identifikator",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Bezeichnung","mii-lm-symptom.Observation.Bezeichnung","","","",0,1,"","","","string {[]} {[]}
","Natürlichsprachige Bezeichnung der Observation","Natürlichsprachige Bezeichnung der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Bezeichnung",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Beschreibung","mii-lm-symptom.Observation.Beschreibung","","","",0,1,"","","","string {[]} {[]}
","Natürlichsprachige Beschreibung der Beobachtung","Natürlichsprachige Beschreibung der Beobachtung","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Beschreibung",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Kategorie","mii-lm-symptom.Observation.Kategorie","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Kategorie der Observation","Kategorie der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Kategorie",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Status","mii-lm-symptom.Observation.Status","","","",1,1,"","","","code {[]} {[]}
","Status der Observation","Status der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Status",1,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Code","mii-lm-symptom.Observation.Code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code der Observation: z. B. LOINC, SNOMED CT, HPO","Code der Observation: z. B. LOINC, SNOMED CT, HPO","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Code",1,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Zeitspanne","mii-lm-symptom.Observation.Zeitspanne","","","",0,1,"","","","Period {[]} {[]}
","Klinisch relevante Zeitpunkte/Zeitspanne","Klinisch relevante Zeitpunkte/Zeitspanne","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Zeitspanne",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
per-1:If present, start SHALL have a lower value than end {start.hasValue().not() or end.hasValue().not() or (start <= end)}"
"mii-lm-symptom","mii-lm-symptom.Observation.Zeitspanne.id","mii-lm-symptom.Observation.Zeitspanne.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Zeitspanne.extension","mii-lm-symptom.Observation.Zeitspanne.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-symptom","mii-lm-symptom.Observation.Zeitspanne.start","mii-lm-symptom.Observation.Zeitspanne.start","","","",0,1,"","","Y","dateTime {[]} {[]}
","Klinisch relevanter (Start-)Zeitpunkt einer Observation","Klinisch relevanter (Start-)Zeitpunkt einer Observation","If the low element is missing, the meaning is that the low boundary is not known.","","","","","","","","",,,,,"",,,,"Period.start",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-symptom","mii-lm-symptom.Observation.Zeitspanne.end","mii-lm-symptom.Observation.Zeitspanne.end","","","",0,1,"","","Y","dateTime {[]} {[]}
","Klinisch relevanter Endzeitpunkt einer Observation","Klinisch relevanter Endzeitpunkt einer Observation","The high value includes any matching date/time. i.e. 2012-02-03T10:00:00 is in a period that has an end value of 2012-02-03.","","","If the end of the period is missing, it means that the period is ongoing","","","","","",,,,,"",,,,"Period.end",0,1,"per-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-symptom","mii-lm-symptom.Observation.Dokumentationsdatum","mii-lm-symptom.Observation.Dokumentationsdatum","","","",0,1,"","","","instant {[]} {[]}
","Zeitpunkt der Dokumentation der Observation.","Zeitpunkt der Dokumentation der Observation.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Dokumentationsdatum",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Wert[x]","mii-lm-symptom.Observation.Wert[x]","","","",0,1,"","","","Quantity {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}boolean {[]} {[]}integer {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}SampledData {[]} {[]}time {[]} {[]}dateTime {[]} {[]}Period {[]} {[]}","Wert der Observation","Wert der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Wert[x]",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.ReferenzIntervall","mii-lm-symptom.Observation.ReferenzIntervall","","","",0,*,"","","","BackboneElement {[]} {[]}
","Referenz-Intervall entsprechend des eingebetteten komplexen Typs (Observation.referenceRange)","Referenz-Intervall entsprechend des eingebetteten komplexen Typs (Observation.referenceRange)","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.ReferenzIntervall",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.GrundNichtVorhandenerDaten","mii-lm-symptom.Observation.GrundNichtVorhandenerDaten","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Grund für nicht vorhandene Daten der Observation","Grund für nicht vorhandene Daten der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.GrundNichtVorhandenerDaten",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Interpretation","mii-lm-symptom.Observation.Interpretation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Interpretation einer Observation","Interpretation einer Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Interpretation",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Kommentar","mii-lm-symptom.Observation.Kommentar","","","",0,*,"","","","Annotation {[]} {[]}
","Natürlichsprachiger Kommentar zur Observation.","Natürlichsprachiger Kommentar zur Observation.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Kommentar",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Lokalisation","mii-lm-symptom.Observation.Lokalisation","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Lokalisation der Observation als SNOMED CT Body Structure codiert.","Lokalisation der Observation als SNOMED CT Body Structure codiert.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Lokalisation",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Patient","mii-lm-symptom.Observation.Patient","","","",0,1,"","","","Reference {[]} {[]}
","Link auf Patient","Link auf Patient","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Patient",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Fall","mii-lm-symptom.Observation.Fall","","","",0,1,"","","","Reference {[]} {[]}
","Fall der Observation","Fall der Observation","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Fall",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Probe","mii-lm-symptom.Observation.Probe","","","",0,1,"","","","Reference {[]} {[]}
","Referenz auf die Probe, auf der die Observation basiert","Referenz auf die Probe, auf der die Observation basiert","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Probe",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Messgeraet","mii-lm-symptom.Observation.Messgeraet","","","",0,1,"","","","Reference {[]} {[]}
","Referenz auf das verwendete Mess-/Untersuchungsgerät","Referenz auf das verwendete Mess-/Untersuchungsgerät","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Messgeraet",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Methode","mii-lm-symptom.Observation.Methode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Methode der Untersuchung","Methode der Untersuchung","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Methode",0,1,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.BezugZuHatTeil","mii-lm-symptom.Observation.BezugZuHatTeil","","","",0,*,"","","","Reference {[]} {[]}
","Bezug zu Ressourcen, die zu dieser Observation gehören (Observation, QuestionnaireResponse, MolecularSequence)","Bezug zu Ressourcen, die zu dieser Observation gehören (Observation, QuestionnaireResponse, MolecularSequence)","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.BezugZuHatTeil",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.BezugVonIstTeilVon","mii-lm-symptom.Observation.BezugVonIstTeilVon","","","",0,*,"","","","Reference {[]} {[]}
","Referenz auf Messunger/Beobachtungen, aus denen diese Observation hervorgeht.","Referenz auf Messunger/Beobachtungen, aus denen diese Observation hervorgeht.","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.BezugVonIstTeilVon",0,*,"",""
"mii-lm-symptom","mii-lm-symptom.Observation.Komponente","mii-lm-symptom.Observation.Komponente","","","",0,*,"","","","BackboneElement {[]} {[]}
","Komponente einer Observation mit mehreren Komponenten (z. B. Blutdruck) entsprechend des komplexen Typs (Observation.component) mit .code, .value, .dataAbsentReason, .interpretation, .referenceRange (alle wie oben beschrieben)","Komponente einer Observation mit mehreren Komponenten (z. B. Blutdruck) entsprechend des komplexen Typs (Observation.component) mit .code, .value, .dataAbsentReason, .interpretation, .referenceRange (alle wie oben beschrieben)","","","","","","","","","",,,,,"",,,,"mii-lm-symptom.Observation.Komponente",0,*,"",""
"mii-pr-symptom-condition","Condition","Condition","","","",0,*,"","","","null {[]} {[]}
","Detailed information about conditions, problems or diagnoses","A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.","","","","","","","","","",,,,,"",,,,"Condition",0,*,"","con-3:Condition.clinicalStatus SHALL be present if verificationStatus is not entered-in-error and category is problem-list-item {clinicalStatus.exists() or verificationStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-ver-status' and code = 'entered-in-error').exists() or category.select($this='problem-list-item').empty()}
con-4:If condition is abated, then clinicalStatus must be either inactive, resolved, or remission {abatement.empty() or clinicalStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-clinical' and (code='resolved' or code='remission' or code='inactive')).exists()}con-5:Condition.clinicalStatus SHALL NOT be present if verification Status is entered-in-error {verificationStatus.coding.where(system='http://terminology.hl7.org/CodeSystem/condition-ver-status' and code='entered-in-error').empty() or clinicalStatus.empty()}dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"mii-pr-symptom-condition","Condition.id","Condition.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"mii-pr-symptom-condition","Condition.meta","Condition.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-pr-symptom-condition","Condition.implicitRules","Condition.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-pr-symptom-condition","Condition.language","Condition.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-pr-symptom-condition","Condition.text","Condition.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-pr-symptom-condition","Condition.contained","Condition.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"",""
"mii-pr-symptom-condition","Condition.extension","Condition.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-pr-symptom-condition","Condition.extension:assertedDate","Condition.extension","assertedDate","","",0,1,"Y","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/condition-assertedDate]]} {[]}
","Date the allergy, intolerance, condition, problem, or diagnosis or other event, situation, issue, or clinical concept was first asserted","When the asserter identified the allergy, intolerance, condition, problem, or diagnosis or other event, situation, issue, or clinical concept that may have risen to a level of or remains a concern.  For example, when the patient experiences chest pain, the asserted date represents when the clinician began following the chest pain - not when the patient experienced the chest pain.  Asserted date supports the recognition that information is not always entered in a system immediately.  Assertion and recording are different acts, so asserted date and recorded date are semantically different. However, they may be the same date and close in time.  If this difference is significant for your use case, assertion date may be useful.","The assertedDate is in the context of the recording practitioner and might not be the same as the recordedDate.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-pr-symptom-condition","Condition.modifierExtension","Condition.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-pr-symptom-condition","Condition.identifier","Condition.identifier","","","",0,*,"Y","","Y","Identifier {[]} {[]}
","External Ids for this condition","Business identifiers assigned to this condition by the performer or other systems which remain constant as the resource is updated and propagates from server to server.","This is a business identifier, not a resource identifier (see [discussion](http://hl7.org/fhir/R4/resource.html#identifiers)).  It is best practice for the identifier to only appear on a single resource instance, however business practices may occasionally dictate that multiple resource instances with the same identifier can exist - possibly even with different resource types.  For example, multiple Patient and a Person resource instance might share the same social insurance number.","Allows identification of the condition as it is known by various participating systems and in a way that remains consistent across servers.","","","","","","","",,,,,"",,,,"Condition.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-pr-symptom-condition","Condition.clinicalStatus","Condition.clinicalStatus","","","",0,1,"Y","Y","Y","CodeableConcept {[]} {[]}
","active | recurrence | relapse | inactive | remission | resolved","The clinical status of the condition.","The data type is CodeableConcept because clinicalStatus has some clinical judgment involved, such that there might need to be more specificity than the required FHIR value set allows. For example, a SNOMED coding might allow for additional specificity.","","","","","","","","",,"required","The clinical status of the condition or diagnosis.","http://hl7.org/fhir/ValueSet/condition-clinical|4.0.1","",,,,"Condition.clinicalStatus",0,1,"con-3
con-4con-5","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-pr-symptom-condition","Condition.verificationStatus","Condition.verificationStatus","","","",0,1,"Y","Y","Y","CodeableConcept {[]} {[]}
","unconfirmed | provisional | differential | confirmed | refuted | entered-in-error","The verification status to support the clinical status of the condition.","verificationStatus is not required.  For example, when a patient has abdominal pain in the ED, there is not likely going to be a verification status.
The data type is CodeableConcept because verificationStatus has some clinical judgment involved, such that there might need to be more specificity than the required FHIR value set allows. For example, a SNOMED coding might allow for additional specificity.","","","","","","","","",,"required","The verification status to support or decline the clinical status of the condition or diagnosis.","http://hl7.org/fhir/ValueSet/condition-ver-status|4.0.1","",,,,"Condition.verificationStatus",0,1,"con-3
con-5","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
